username,follower_counts,media_counts
mina_sr_my,7773697,56
jy_piece,6714354,35
momo,10434880,95
thinkaboutzu,9979447,52
nayeonyny,9911729,80
m.by__sana,9171094,78
_zyozyo,8160817,94
dahhyunnee,7564166,66
chaeyo.0,8407792,74
